ms,Frequency,Pulse Count, Duration
24764,3854.69,191,24775
24864,5588.73,204,18251
24964,2986.29,190,31812
25064,9840.93,219,11127
25164,7912.89,234,14786
25264,3141.38,187,29764
25364,6660.54,203,15239
25464,5050.28,231,22870
25564,3154.47,200,31701
25664,11453.7,211,9211
25764,6182.52,205,16579
25864,8000.31,207,12937
25964,6504.06,216,16605
26064,6997.88,231,16505
26164,69825.44,224,1604
26264,5399.81,240,22223
26364,8301.71,280,16864
26464,4730.59,246,26001
26564,5642.09,255,22598
26664,5955.88,304,25521
26764,8528.71,251,14715
26864,3798.82,221,29088
26972,6358.51,230,18086
27072,8306.35,236,14206
27179,4601.6,228,24774
27280,5967.5,235,19690
27380,3688.34,217,29417
27480,4981.26,210,21079
27580,5211.64,246,23601
27680,5484.77,229,20876
27780,3274.68,217,33133
27880,4401.41,220,24992
27980,5549.81,279,25136
28080,8160.55,233,14276
28180,4774.47,257,26914
28280,4289.33,234,27277
28380,4054.94,235,28977
28480,4092.47,188,22969
28580,7651.56,234,15291
28680,6396.81,183,14304
28780,3029.34,191,31525
28880,6114.17,202,16519
28980,5957.81,196,16449
29080,7395.61,209,14130
29180,11982.82,212,8846
29280,3030.3,190,31350
29380,6337.72,205,16173
29488,4609.65,220,23863
29588,2654.66,207,38988
29690,4606.09,221,23990
29796,6083.63,245,20136
29896,6712.53,201,14972
29996,2838,222,39112
30096,4175.54,196,23470
30196,4418.11,217,24558
30296,65903.31,259,1965
30396,3810.25,191,25064
30496,4303.47,216,25096
30596,4106.94,200,24349
30696,6616.94,220,16624
